datetime,open,high,low,close,tick_volume,spread
23-03-2023 12:00:00,1.08756,1.08932,1.08706,1.08881,1744,5
23-03-2023 12:30:00,1.08882,1.08897,1.08695,1.0873,1858,5
23-03-2023 13:00:00,1.08728,1.08899,1.08728,1.08889,1127,5
23-03-2023 13:30:00,1.08891,1.08927,1.08773,1.08866,1529,5
23-03-2023 14:00:00,1.08868,1.08927,1.08804,1.08927,1339,5
23-03-2023 14:30:00,1.08929,1.08949,1.08812,1.08911,1334,5
23-03-2023 15:00:00,1.08912,1.09076,1.08898,1.09029,1084,5
23-03-2023 15:30:00,1.0903,1.09071,1.08835,1.08896,1712,5
23-03-2023 16:00:00,1.08895,1.08976,1.08833,1.08916,1724,5
23-03-2023 16:30:00,1.08918,1.08984,1.0891,1.0895299999999999,1074,5
23-03-2023 17:00:00,1.08952,1.08952,1.0869,1.0869,1064,5
23-03-2023 17:30:00,1.08687,1.0878700000000001,1.0864,1.08685,954,5
23-03-2023 18:00:00,1.08685,1.08764,1.08663,1.08671,790,5
23-03-2023 18:30:00,1.08669,1.08677,1.08279,1.08416,2173,5
23-03-2023 19:00:00,1.08416,1.08529,1.08301,1.08369,3601,5
23-03-2023 19:30:00,1.08369,1.08424,1.0824,1.08396,2005,5
23-03-2023 20:00:00,1.08395,1.08405,1.08306,1.08338,397,5
23-03-2023 20:30:00,1.08337,1.08377,1.08301,1.08301,376,5
23-03-2023 21:00:00,1.0830899999999999,1.08335,1.08303,1.0832,131,25
23-03-2023 21:30:00,1.08319,1.08328,1.08312,1.08325,29,25
23-03-2023 22:00:00,1.0832600000000001,1.08376,1.08317,1.08338,97,25
23-03-2023 22:30:00,1.08336,1.08338,1.0826,1.08317,148,6
23-03-2023 23:00:00,1.08319,1.08355,1.08315,1.08328,326,6
23-03-2023 23:30:00,1.0833,1.0835,1.08313,1.08344,227,6
24-03-2023 00:00:00,1.08345,1.08347,1.08245,1.08329,802,5
24-03-2023 00:30:00,1.08329,1.08341,1.08295,1.08324,524,5
24-03-2023 01:00:00,1.08323,1.08349,1.08209,1.08219,1241,5
24-03-2023 01:30:00,1.08217,1.08266,1.08203,1.08249,856,5
24-03-2023 02:00:00,1.0824799999999999,1.08278,1.08235,1.08244,610,5
24-03-2023 02:30:00,1.08242,1.08252,1.08196,1.082,485,5
24-03-2023 03:00:00,1.08202,1.08238,1.08171,1.0823,372,5
24-03-2023 03:30:00,1.08232,1.08283,1.08232,1.08283,390,5
24-03-2023 04:00:00,1.08284,1.083,1.08229,1.08274,387,5
24-03-2023 04:30:00,1.08273,1.0834,1.08266,1.0834,353,5
24-03-2023 05:00:00,1.08338,1.08361,1.08307,1.08355,428,5
24-03-2023 05:30:00,1.08355,1.08368,1.08319,1.08332,444,5
24-03-2023 06:00:00,1.08331,1.0835,1.08255,1.08292,530,5
24-03-2023 06:30:00,1.08291,1.08325,1.08243,1.08244,559,5
24-03-2023 07:00:00,1.08247,1.08327,1.08226,1.08275,964,5
24-03-2023 07:30:00,1.08276,1.08349,1.08264,1.08279,864,5
24-03-2023 08:00:00,1.0828,1.08307,1.07727,1.07862,4333,5
24-03-2023 08:30:00,1.07865,1.07936,1.07678,1.07797,3345,5
24-03-2023 09:00:00,1.07795,1.07904,1.07736,1.0786,1865,5
24-03-2023 09:30:00,1.07858,1.07869,1.07213,1.07253,4796,5
24-03-2023 10:00:00,1.07254,1.07422,1.07212,1.07364,4577,5
24-03-2023 10:30:00,1.07365,1.07404,1.07245,1.07274,2304,5
24-03-2023 11:00:00,1.07275,1.07467,1.0713,1.07451,2201,5
24-03-2023 11:30:00,1.07453,1.07477,1.0732,1.07379,1368,5
24-03-2023 12:00:00,1.0737700000000001,1.07387,1.07229,1.07373,1937,5
24-03-2023 12:30:00,1.07374,1.07519,1.07374,1.07489,2240,5
24-03-2023 13:00:00,1.0749,1.07631,1.07413,1.07629,1669,5
24-03-2023 13:30:00,1.07626,1.07654,1.07413,1.07568,3607,5
24-03-2023 14:00:00,1.07569,1.07672,1.07494,1.07557,2778,5
24-03-2023 14:30:00,1.07556,1.07607,1.07492,1.0749900000000001,1720,5
24-03-2023 15:00:00,1.07497,1.07539,1.07414,1.07472,1593,5
24-03-2023 15:30:00,1.07471,1.07636,1.07442,1.0761,1870,5
24-03-2023 16:00:00,1.0761,1.07668,1.07535,1.07585,1212,5
24-03-2023 16:30:00,1.07582,1.07633,1.07511,1.0757,988,5
24-03-2023 17:00:00,1.07569,1.07643,1.07552,1.0763,944,5
24-03-2023 17:30:00,1.07632,1.07673,1.07591,1.07615,589,5
24-03-2023 18:00:00,1.07616,1.07616,1.07538,1.0754299999999999,531,5
24-03-2023 18:30:00,1.07542,1.07624,1.07539,1.0760399999999999,526,5
24-03-2023 19:00:00,1.07603,1.07661,1.07578,1.07654,481,5
24-03-2023 19:30:00,1.07652,1.07654,1.07572,1.07586,460,5
24-03-2023 20:00:00,1.07587,1.07626,1.07587,1.07596,220,5
24-03-2023 20:30:00,1.07594,1.07615,1.07582,1.07598,259,5
26-03-2023 21:00:00,1.077,1.07704,1.07685,1.07685,35,38
26-03-2023 21:30:00,1.07686,1.07686,1.07649,1.07649,60,26
26-03-2023 22:00:00,1.07649,1.0778699999999999,1.07645,1.07776,309,25
26-03-2023 22:30:00,1.07774,1.07775,1.07734,1.07772,281,7
26-03-2023 23:00:00,1.07774,1.0777700000000001,1.07741,1.0777,385,6
26-03-2023 23:30:00,1.07772,1.07784,1.07707,1.07775,440,6
27-03-2023 00:00:00,1.07773,1.07773,1.07649,1.0765,776,5
27-03-2023 00:30:00,1.07648,1.07691,1.07607,1.07608,548,5
27-03-2023 01:00:00,1.07606,1.07668,1.07605,1.07666,636,5
27-03-2023 01:30:00,1.07664,1.0766499999999999,1.07575,1.07614,736,5
27-03-2023 02:00:00,1.07613,1.07678,1.07613,1.07648,490,5
27-03-2023 02:30:00,1.07648,1.07699,1.0764,1.07694,380,5
27-03-2023 03:00:00,1.07693,1.07707,1.07686,1.0769,269,5
27-03-2023 03:30:00,1.07689,1.07746,1.07682,1.07714,410,5
27-03-2023 04:00:00,1.07712,1.07721,1.07692,1.07703,236,5
