,datetime,open,open_spread,unreal_pnl,nav,sum_cf
7304,2023-08-15 10:30:00,1903.098,1903.223,-8135.64,3751.28,10886.92
7305,2023-08-15 11:00:00,1903.873,1903.998,-8058.13,3828.78,10886.92
7306,2023-08-15 11:30:00,1903.452,1903.577,-8100.24,3786.68,10886.92
7307,2023-08-15 12:00:00,1904.204,1904.329,-8025.04,3861.88,10886.92
7308,2023-08-15 12:30:00,1903.134,1903.259,-8132.03,3754.88,10886.92
7309,2023-08-15 13:00:00,1903.468,1903.593,-8098.63,3788.28,10886.92
7310,2023-08-15 13:30:00,1904.282,1904.407,-8017.24,3869.68,10886.92
7311,2023-08-15 14:00:00,1903.795,1903.92,-8065.93,3820.98,10886.92
7312,2023-08-15 14:30:00,1906.614,1906.739,-7784.03,4102.88,10886.92
7313,2023-08-15 15:00:00,1910.033,1910.158,-7442.14,4444.78,10886.92
7314,2023-08-15 15:30:00,1907.813,1907.938,-7664.13,4222.78,10886.92
7315,2023-08-15 16:00:00,1906.839,1906.964,-7761.54,4125.38,10886.92
7316,2023-08-15 16:30:00,1905.035,1905.16,-7941.93,3944.98,10886.92
7317,2023-08-15 17:00:00,1903.638,1903.763,-8081.64,3805.28,10886.92
7318,2023-08-15 17:30:00,1904.039,1904.164,-8041.54,3845.38,10886.92
7319,2023-08-15 18:00:00,1904.427,1904.552,-8002.74,3884.18,10886.92
7320,2023-08-15 18:30:00,1903.652,1903.777,-8080.23,3806.68,10886.92
7321,2023-08-15 19:00:00,1902.599,1902.724,-8185.54,3701.38,10886.92
7322,2023-08-15 19:30:00,1903.011,1903.136,-8144.34,3742.58,10886.92
7323,2023-08-15 20:00:00,1902.67,1902.795,-8178.43,3708.48,10886.92
7324,2023-08-15 20:30:00,1902.299,1902.424,-8215.54,3671.38,10886.92
7325,2023-08-15 22:00:00,1901.939,1902.064,-8251.53,3635.38,10886.92
7326,2023-08-15 22:30:00,1901.945,1902.07,-8250.94,3635.98,10886.92
7327,2023-08-15 23:00:00,1901.47,1901.595,-8298.43,3588.48,10886.92
7328,2023-08-15 23:30:00,1901.522,1901.647,-8293.24,3593.68,10886.92
7329,2023-08-16 00:00:00,1901.449,1901.574,-8300.53,3586.38,10886.92
7330,2023-08-16 00:30:00,1901.702,1901.827,-8275.24,3611.68,10886.92
7331,2023-08-16 01:00:00,1902.232,1902.357,-8222.24,3664.68,10886.92
7332,2023-08-16 01:30:00,1902.937,1903.062,-8151.74,3735.18,10886.92
7333,2023-08-16 02:00:00,1902.739,1902.864,-8171.53,3715.38,10886.92
7334,2023-08-16 02:30:00,1903.762,1903.887,-8069.24,3817.68,10886.92
7335,2023-08-16 03:00:00,1903.812,1903.937,-8064.24,3822.68,10886.92
7336,2023-08-16 03:30:00,1904.804,1904.929,-7965.03,3921.88,10886.92
7337,2023-08-16 04:00:00,1904.098,1904.223,-8035.64,3851.28,10886.92
7338,2023-08-16 04:30:00,1903.428,1903.553,-8102.63,3784.28,10886.92
7339,2023-08-16 05:00:00,1903.975,1904.1,-8047.94,3838.98,10886.92
7340,2023-08-16 05:30:00,1904.16,1904.285,-8029.43,3857.48,10886.92
7341,2023-08-16 06:00:00,1905.126,1905.251,-7932.84,3954.08,10886.92
7342,2023-08-16 06:30:00,1906.263,1906.388,-7819.14,4067.78,10886.92
7343,2023-08-16 07:00:00,1905.532,1905.657,-7892.24,3994.68,10886.92
7344,2023-08-16 07:30:00,1903.49,1903.615,-8096.44,3790.48,10886.92
7345,2023-08-16 08:00:00,1904.548,1904.673,-7990.64,3896.28,10886.92
7346,2023-08-16 08:30:00,1904.735,1904.86,-7971.94,3914.98,10886.92
7347,2023-08-16 09:00:00,1905.391,1905.516,-7906.33,3980.58,10886.92
7348,2023-08-16 09:30:00,1906.853,1906.978,-7760.13,4126.78,10886.92
7349,2023-08-16 10:00:00,1906.065,1906.19,-7838.93,4047.98,10886.92
7350,2023-08-16 10:30:00,1906.628,1906.753,-7782.64,4104.28,10886.92
7351,2023-08-16 11:00:00,1906.052,1906.177,-7840.24,4046.68,10886.92
7352,2023-08-16 11:30:00,1905.2,1905.325,-7925.43,3961.48,10886.92
7353,2023-08-16 12:00:00,1903.093,1903.218,-8136.13,3750.78,10886.92
7354,2023-08-16 12:30:00,1901.879,1902.004,-8257.54,3629.38,10886.92
7355,2023-08-16 13:00:00,1900.761,1900.886,-8369.34,3517.58,10886.92
7356,2023-08-16 13:30:00,1903.158,1903.283,-8129.64,3757.28,10886.92
7357,2023-08-16 14:00:00,1904.182,1904.307,-8027.24,3859.68,10886.92
7358,2023-08-16 14:30:00,1904.751,1904.876,-7970.34,3916.58,10886.92
7359,2023-08-16 15:00:00,1904.63,1904.755,-7982.43,3904.48,10886.92
7360,2023-08-16 15:30:00,1903.153,1903.278,-8130.13,3756.78,10886.92
7361,2023-08-16 16:00:00,1901.909,1902.034,-8254.53,3632.38,10886.92
7362,2023-08-16 16:30:00,1899.819,1899.944,-8463.54,3423.38,10886.92
7363,2023-08-16 17:00:00,1899.465,1899.59,-8498.94,3387.98,10886.92
7364,2023-08-16 17:30:00,1897.837,1897.962,-8661.73,3225.18,10886.92
7365,2023-08-16 18:00:00,1898.458,1898.583,-8599.63,3287.28,10886.92
7366,2023-08-16 18:30:00,1898.058,1898.183,-8639.64,3247.28,10886.92
7367,2023-08-16 19:00:00,1894.957,1895.082,-8949.73,2937.18,10886.92
7368,2023-08-16 19:30:00,1892.886,1893.011,-9156.84,2730.08,10886.92
7369,2023-08-16 20:00:00,1892.221,1892.346,-9223.33,2663.58,10886.92
7370,2023-08-16 20:30:00,1893.58,1893.705,-9087.44,2799.48,10886.92
7371,2023-08-16 22:00:00,1892.205,1892.33,-9224.94,2661.98,10886.92
7372,2023-08-16 22:30:00,1894.512,1894.637,-8994.24,2892.68,10886.92
7373,2023-08-16 23:00:00,1894.349,1894.474,-9010.54,2876.38,10886.92
7374,2023-08-16 23:30:00,1892.735,1892.86,-9171.94,2714.98,10886.92
7375,2023-08-17 00:00:00,1893.335,1893.46,-9111.94,2774.98,10886.92
7376,2023-08-17 00:30:00,1892.89,1893.015,-9156.43,2730.48,10886.92
7377,2023-08-17 01:00:00,1892.763,1892.888,-9169.14,2717.78,10886.92
7378,2023-08-17 01:30:00,1890.139,1890.264,-9431.54,2455.38,10886.92
7379,2023-08-17 02:00:00,1892.634,1892.759,-9182.03,2704.88,10886.92
7380,2023-08-17 02:30:00,1893.019,1893.144,-9143.53,2743.38,10886.92
7381,2023-08-17 03:00:00,1893.724,1893.849,-9073.04,2813.88,10886.92
7382,2023-08-17 03:30:00,1893.364,1893.489,-9109.03,2777.88,10886.92
7383,2023-08-17 04:00:00,1892.758,1892.883,-9169.63,2717.28,10886.92
7384,2023-08-17 04:30:00,1893.372,1893.497,-9108.23,2778.68,10886.92
7385,2023-08-17 05:00:00,1893.761,1893.886,-9069.34,2817.58,10886.92
7386,2023-08-17 05:30:00,1893.473,1893.598,-9098.14,2788.78,10886.92
7387,2023-08-17 06:00:00,1893.441,1893.566,-9101.34,2785.58,10886.92
7388,2023-08-17 06:30:00,1894.605,1894.73,-8984.93,2901.98,10886.92
7389,2023-08-17 07:00:00,1897.255,1897.38,-8719.93,3166.98,10886.92
7390,2023-08-17 07:30:00,1895.933,1896.058,-8852.14,3034.78,10886.92
7391,2023-08-17 08:00:00,1896.423,1896.548,-8803.14,3083.78,10886.92
7392,2023-08-17 08:30:00,1895.703,1895.828,-8875.14,3011.78,10886.92
7393,2023-08-17 09:00:00,1893.953,1894.078,-9050.14,2836.78,10886.92
7394,2023-08-17 09:30:00,1893.861,1893.986,-9059.33,2827.58,10886.92
7395,2023-08-17 10:00:00,1895.226,1895.351,-8922.83,2964.08,10886.92
7396,2023-08-17 10:30:00,1897.077,1897.202,-8737.73,3149.18,10886.92
7397,2023-08-17 11:00:00,1897.95,1898.075,-8650.44,3236.48,10886.92
7398,2023-08-17 11:30:00,1898.231,1898.356,-8622.34,3264.58,10886.92
7399,2023-08-17 12:00:00,1898.829,1898.954,-8562.54,3324.38,10886.92
7400,2023-08-17 12:30:00,1899.501,1899.626,-8495.34,3391.58,10886.92
7401,2023-08-17 13:00:00,1899.481,1899.606,-8497.34,3389.58,10886.92
7402,2023-08-17 13:30:00,1902.388,1902.513,-8206.64,3680.28,10886.92
7403,2023-08-17 14:00:00,1895.92,1896.045,-8853.43,3033.48,10886.92
7404,2023-08-17 14:30:00,1894.451,1894.576,-9000.34,2886.58,10886.92
7405,2023-08-17 15:00:00,1895.382,1895.507,-8907.23,2979.68,10886.92
7406,2023-08-17 15:30:00,1893.706,1893.831,-9074.84,2812.08,10886.92
